Checklist,Type,Index,Description,Reg Key,Reg Item,Value Data,actrual_value,result
1,REGISTRY_SETTING,2.3.17.3,Ensure 'User Account Control: Behavior of the elevation prompt for standard users' is set to 'Automatically deny elevation requests',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,ConsentPromptBehaviorUser,0,3,Fail
1,REGISTRY_SETTING,2.3.17.4,Ensure 'User Account Control: Detect application installations and prompt for elevation' is set to 'Enabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,EnableInstallerDetection,1,1,Pass
1,REGISTRY_SETTING,2.3.17.5,Ensure 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' is set to 'Enabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,EnableSecureUIAPaths,1,1,Pass
1,REGISTRY_SETTING,2.3.17.6,Ensure 'User Account Control: Run all administrators in Admin Approval Mode' is set to 'Enabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,EnableLUA,1,1,Pass
1,REGISTRY_SETTING,2.3.17.7,Ensure 'User Account Control: Switch to the secure desktop when prompting for elevation' is set to 'Enabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,PromptOnSecureDesktop,1,0,Fail
1,REGISTRY_SETTING,2.3.17.8,Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,EnableVirtualization,1,1,Pass
1,REGISTRY_SETTING,18.3.1,Ensure 'Apply UAC restrictions to local accounts on network logons' is set to 'Enabled',HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,LocalAccountTokenFilterPolicy,0,Value Not found,Fail
1,REGISTRY_SETTING,18.9.6.1,Ensure 'Allow Microsoft accounts to be optional' is set to 'Enabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,MSAOptional,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.86.1,Ensure 'Sign-in and lock last interactive user automatically after a restart' is set to 'Disabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,DisableAutomaticRestartSignOn,1,Value Not found,Fail
1,REGISTRY_SETTING,18.8.3.1,Ensure 'Include command line in process creation events' is set to 'Disabled',HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit,ProcessCreationIncludeCmdLine_Enabled,0,Value Not found,Fail
1,REGISTRY_SETTING,18.8.4.1,Ensure 'Encryption Oracle Remediation' is set to 'Enabled: Force Updated Clients',HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters,AllowEncryptionOracle,0,Value Not found,Fail
1,REGISTRY_SETTING,2.3.11.4,"Ensure 'Network security: Configure encryption types allowed for Kerberos' is set to 'AES128_HMAC_SHA1, AES256_HMAC_SHA1, Future encryption types'",HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters,SupportedEncryptionTypes,2147483640,Value Not found,Fail
1,REGISTRY_SETTING,18.2.2,Ensure 'Do not allow password expiration time longer than required by policy' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft Services\AdmPwd,PwdExpirationProtectionEnabled,1,Value Not found,Fail
1,REGISTRY_SETTING,18.2.3,Ensure 'Enable Local Admin Password Management' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft Services\AdmPwd,AdmPwdEnabled,1,Value Not found,Fail
1,REGISTRY_SETTING,18.2.4,Ensure 'Password Settings: Password Complexity' is set to 'Enabled: Large letters + small letters + numbers + special characters',HKLM\SOFTWARE\Policies\Microsoft Services\AdmPwd,PasswordComplexity,4,3,Fail
1,REGISTRY_SETTING,18.2.5,Ensure 'Password Settings: Password Length' is set to 'Enabled: 15 or more',HKLM\SOFTWARE\Policies\Microsoft Services\AdmPwd,PasswordLength,[15..MAX],15,Fail
1,REGISTRY_SETTING,18.2.6,Ensure 'Password Settings: Password Age (Days)' is set to 'Enabled: 30 or fewer',HKLM\SOFTWARE\Policies\Microsoft Services\AdmPwd,PasswordAgeDays,[MIN..30],60,Fail
1,REGISTRY_SETTING,18.9.10.1.1,Ensure 'Configure enhanced anti-spoofing' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Biometrics\FacialFeatures,EnhancedAntiSpoofing,1,1,Pass
1,REGISTRY_SETTING,18.1.2.2,Ensure 'Allow users to enable online speech recognition services' is set to 'Disabled',HKLM\SOFTWARE\Policies\Microsoft\InputPersonalization,AllowInputPersonalization,0,0,Pass
1,REGISTRY_SETTING,18.9.63.1,Ensure 'Prevent downloading of enclosures' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Internet Explorer\Feeds,DisableEnclosureDownload,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.44.1,Ensure 'Block all consumer Microsoft account user authentication' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\MicrosoftAccount,DisableUserAuth,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.48.4,Ensure 'Allow Sideloading of extension' is set to 'Disabled',HKLM\SOFTWARE\Policies\Microsoft\MicrosoftEdge\Extensions,AllowSideloadingOfExtensions,0,Value Not found,Fail
1,REGISTRY_SETTING,18.9.48.12,Ensure 'Prevent certificate error overrides' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\MicrosoftEdge\Internet Settings,PreventCertErrorOverrides,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.48.5,Ensure 'Configure cookies' is set to 'Enabled: Block only 3rd-party cookies' or higher,HKLM\SOFTWARE\Policies\Microsoft\MicrosoftEdge\Main,Cookies,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.48.6,Ensure 'Configure Password Manager' is set to 'Disabled',HKLM\SOFTWARE\Policies\Microsoft\MicrosoftEdge\Main,FormSuggest Passwords,no,Value Not found,Fail
1,REGISTRY_SETTING,18.9.48.11,Ensure 'Prevent bypassing Windows Defender SmartScreen prompts for files' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\MicrosoftEdge\PhishingFilter,PreventOverrideAppRepUnknown,1,1,Pass
1,REGISTRY_SETTING,18.9.80.2.1,Ensure 'Configure Windows Defender SmartScreen' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\MicrosoftEdge\PhishingFilter,EnabledV9,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.80.2.2,Ensure 'Prevent bypassing Windows Defender SmartScreen prompts for sites' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\MicrosoftEdge\PhishingFilter,PreventOverride,1,1,Pass
1,REGISTRY_SETTING,18.9.48.9,Ensure 'Configure the Adobe Flash Click-to-Run setting' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\MicrosoftEdge\Security,FlashClickToRunMode,1,Value Not found,Fail
1,REGISTRY_SETTING,18.8.34.6.5,Ensure 'Require a password when a computer wakes (on battery)' is set to 'Enabled',HKLM\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51,DCSettingIndex,1,1,Pass
1,REGISTRY_SETTING,18.8.34.6.6,Ensure 'Require a password when a computer wakes (plugged in)' is set to 'Enabled',HKLM\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51,ACSettingIndex,1,1,Pass
1,REGISTRY_SETTING,18.8.34.6.1,Ensure 'Allow network connectivity during connected-standby (on battery)' is set to 'Disabled',HKLM\SOFTWARE\Policies\Microsoft\Power\PowerSettings\f15576e8-98b7-4186-b944-eafa664402d9,DCSettingIndex,0,Value Not found,Fail
1,REGISTRY_SETTING,18.8.34.6.2,Ensure 'Allow network connectivity during connected-standby (plugged in)' is set to 'Disabled',HKLM\SOFTWARE\Policies\Microsoft\Power\PowerSettings\f15576e8-98b7-4186-b944-eafa664402d9,ACSettingIndex,0,Value Not found,Fail
1,REGISTRY_SETTING,18.9.45.14,Ensure 'Configure detection for potentially unwanted applications' is set to 'Enabled: Block',HKLM\SOFTWARE\Policies\Microsoft\Windows Defender,PUAProtection,1,1,Pass
1,REGISTRY_SETTING,18.9.45.15,Ensure 'Turn off Microsoft Defender AntiVirus' is set to 'Disabled',HKLM\SOFTWARE\Policies\Microsoft\Windows Defender,DisableAntiSpyware,0,Value Not found,Fail
1,REGISTRY_SETTING,18.9.99.2.1,Ensure 'Prevent users from modifying settings' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows Defender Security Center\App and Browser protection,DisallowExploitProtectionOverride,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.45.8.1,Ensure 'Scan all downloaded files and attachments' is set to 'Enabled',HKLM\Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableIOAVProtection,0,0,Pass
1,REGISTRY_SETTING,18.9.45.8.2,Ensure 'Turn off real-time protection' is set to 'Disabled',HKLM\Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableRealtimeMonitoring,0,0,Pass
1,REGISTRY_SETTING,18.9.45.8.3,Ensure 'Turn on behavior monitoring' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableBehaviorMonitoring,0,0,Pass
1,REGISTRY_SETTING,18.9.45.11.1,Ensure 'Scan removable drives' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Scan,DisableRemovableDriveScanning,0,0,Pass
1,REGISTRY_SETTING,18.9.45.11.2,Ensure 'Turn on e-mail scanning' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Scan,DisableEmailScanning,0,1,Fail
1,REGISTRY_SETTING,18.9.45.3.1,Ensure 'Configure local setting override for reporting to Microsoft MAPS' is set to 'Disabled',HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet,LocalSettingOverrideSpynetReporting,0,0,Pass
1,REGISTRY_SETTING,18.9.45.4.1.1,Ensure 'Configure Attack Surface Reduction rules' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR,ExploitGuard_ASR_Rules,1,1,Pass
1,REGISTRY_SETTING,18.9.45.4.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured - 26190899-1602-49e8-8b27-eb1d0a1ce869,HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,26190899-1602-49e8-8b27-eb1d0a1ce869,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.45.4.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured - 3b576869-a4ec-4529-8536-b80a7769e899,HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,3b576869-a4ec-4529-8536-b80a7769e899,1,1,Pass
1,REGISTRY_SETTING,18.9.45.4.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured - 5beb7efe-fd9a-4556-801d-275e5ffc04cc,HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,5beb7efe-fd9a-4556-801d-275e5ffc04cc,1,2,Fail
1,REGISTRY_SETTING,18.9.45.4.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured - 75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84,HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84,1,1,Pass
1,REGISTRY_SETTING,18.9.45.4.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured - 7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c,1,2,Fail
1,REGISTRY_SETTING,18.9.45.4.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured - 92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b,HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b,1,2,Fail
1,REGISTRY_SETTING,18.9.45.4.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured - 9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2,1,1,Pass
1,REGISTRY_SETTING,18.9.45.4.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured - b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4,HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4,1,1,Pass
1,REGISTRY_SETTING,18.9.45.4.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured - be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,be9ba2d9-53ea-4cdc-84e5-9b1eeee46550,1,1,Pass
1,REGISTRY_SETTING,18.9.45.4.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured - d3e037e1-3eb8-44c8-a917-57927947596d,HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,d3e037e1-3eb8-44c8-a917-57927947596d,1,1,Pass
1,REGISTRY_SETTING,18.9.45.4.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured - d4f940ab-401b-4efc-aadc-ad5f3c50688a,HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,d4f940ab-401b-4efc-aadc-ad5f3c50688a,1,1,Pass
1,REGISTRY_SETTING,18.9.45.4.3.1,Ensure 'Prevent users and apps from accessing dangerous websites' is set to 'Enabled: Block',HKLM\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\Network Protection,EnableNetworkProtection,1,1,Pass
1,REGISTRY_SETTING,18.5.4.1,Ensure 'Turn off multicast name resolution' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient,EnableMulticast,0,Value Not found,Fail
1,REGISTRY_SETTING,18.8.22.1.2,Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled',HKLM\Software\Policies\Microsoft\Windows NT\Printers,DisableWebPnPDownload,1,Value Not found,Fail
1,REGISTRY_SETTING,18.8.37.1,Ensure 'Enable RPC Endpoint Mapper Client Authentication' is set to 'Enabled',HKLM\Software\Policies\Microsoft\Windows NT\Rpc,EnableAuthEpResolution,1,Value Not found,Fail
1,REGISTRY_SETTING,18.8.37.2,Ensure 'Restrict Unauthenticated RPC clients' is set to 'Enabled: Authenticated',HKLM\Software\Policies\Microsoft\Windows NT\Rpc,RestrictRemoteClients,1,Value Not found,Fail
1,REGISTRY_SETTING,18.8.36.1,Ensure 'Configure Offer Remote Assistance' is set to 'Disabled',HKLM\Software\policies\Microsoft\Windows NT\Terminal Services,fAllowUnsolicited,0,1,Fail
1,REGISTRY_SETTING,18.8.36.2,Ensure 'Configure Solicited Remote Assistance' is set to 'Disabled',HKLM\Software\policies\Microsoft\Windows NT\Terminal Services,fAllowToGetHelp,0,1,Fail
1,REGISTRY_SETTING,18.9.62.2.2,Ensure 'Do not allow passwords to be saved' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,DisablePasswordSaving,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.62.3.3.2,Ensure 'Do not allow drive redirection' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,fDisableCdm,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.62.3.9.1,Ensure 'Always prompt for password upon connection' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,fPromptForPassword,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.62.3.9.2,Ensure 'Require secure RPC communication' is set to 'Enabled',HKLM\Software\Policies\Microsoft\Windows NT\Terminal Services,fEncryptRPCTraffic,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.62.3.9.3,Ensure 'Require use of specific security layer for remote (RDP) connections' is set to 'Enabled: SSL',HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,SecurityLayer,2,Value Not found,Fail
1,REGISTRY_SETTING,18.9.62.3.9.4,Ensure 'Require user authentication for remote connections by using Network Level Authentication' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,UserAuthentication,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.62.3.9.5,Ensure 'Set client connection encryption level' is set to 'Enabled: High Level',HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,MinEncryptionLevel,3,Value Not found,Fail
1,REGISTRY_SETTING,18.9.62.3.11.1,Ensure 'Do not delete temp folders upon exit' is set to 'Disabled',HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services,DeleteTempDirsOnExit,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.5.1,Ensure 'Let Windows apps activate with voice while the system is locked' is set to 'Enabled: Force Deny',HKLM\Software\Policies\Microsoft\Windows\AppPrivacy,LetAppsActivateWithVoiceAboveLock,2,Value Not found,Fail
1,REGISTRY_SETTING,18.9.4.2,Ensure 'Prevent non-admin users from installing packaged Windows apps' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows\Appx,BlockNonAdminUserInstall,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.13.2,Ensure 'Turn off Microsoft consumer experiences' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows\CloudContent,DisableWindowsConsumerFeatures,1,1,Pass
1,REGISTRY_SETTING,18.9.14.1,Ensure 'Require pin for pairing' is set to 'Enabled: First Time' OR 'Enabled: Always',HKLM\SOFTWARE\Policies\Microsoft\Windows\Connect,RequirePinForPairing,1 || 2,Value Not found,Fail
1,REGISTRY_SETTING,18.8.4.2,Ensure 'Remote host allows delegation of non-exportable credentials' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows\CredentialsDelegation,AllowProtectedCreds,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.15.1,Ensure 'Do not display the password reveal button' is set to 'Enabled',HKLM\Software\Policies\Microsoft\Windows\CredUI,DisablePasswordReveal,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.16.1,Ensure 'Allow Telemetry' is set to 'Enabled: 0 - Security [Enterprise Only]' or 'Enabled: 1 - Basic',HKLM\Software\Policies\Microsoft\Windows\DataCollection,AllowTelemetry,0 || 1,0,Fail
1,REGISTRY_SETTING,18.9.16.3,Ensure 'Do not show feedback notifications' is set to 'Enabled',HKLM\SOFTWARE\Policies\Microsoft\Windows\DataCollection,DoNotShowFeedbackNotifications,1,1,Pass
1,REGISTRY_SETTING,18.9.17.1,Ensure 'Download Mode' is NOT set to 'Enabled: Internet',HKLM\Software\Policies\Microsoft\Windows\DeliveryOptimization,DODownloadMode,0 || 1 || 2 || 99 || 100,1,Fail
1,REGISTRY_SETTING,18.9.26.1.1,Ensure 'Application: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled',HKLM\Software\Policies\Microsoft\Windows\EventLog\Application,Retention,0,Value Not found,Fail
1,REGISTRY_SETTING,18.9.26.1.2,"Ensure 'Application: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater'",HKLM\Software\Policies\Microsoft\Windows\EventLog\Application,MaxSize,[32768..MAX],Value Not found,Fail
1,REGISTRY_SETTING,18.9.26.2.1,Ensure 'Security: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled',HKLM\Software\Policies\Microsoft\Windows\EventLog\Security,Retention,0,Value Not found,Fail
1,REGISTRY_SETTING,18.9.26.2.2,"Ensure 'Security: Specify the maximum log file size (KB)' is set to 'Enabled: 196,608 or greater'",HKLM\Software\Policies\Microsoft\Windows\EventLog\Security,MaxSize,[196608..MAX],Value Not found,Fail
1,REGISTRY_SETTING,18.9.26.3.1,Ensure 'Setup: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled',HKLM\Software\Policies\Microsoft\Windows\EventLog\Setup,Retention,0,Value Not found,Fail
1,REGISTRY_SETTING,18.9.26.3.2,"Ensure 'Setup: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater'",HKLM\Software\Policies\Microsoft\Windows\EventLog\Setup,MaxSize,[32768..MAX],Value Not found,Fail
1,REGISTRY_SETTING,18.9.26.4.1,Ensure 'System: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled',HKLM\Software\Policies\Microsoft\Windows\EventLog\System,Retention,0,Value Not found,Fail
1,REGISTRY_SETTING,18.9.26.4.2,"Ensure 'System: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater'",HKLM\Software\Policies\Microsoft\Windows\EventLog\System,MaxSize,[32768..MAX],Value Not found,Fail
1,REGISTRY_SETTING,18.9.8.1,Ensure 'Disallow Autoplay for non-volume devices' is set to 'Enabled',HKLM\Software\Policies\Microsoft\Windows\Explorer,NoAutoplayfornonVolume,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.30.2,Ensure 'Turn off Data Execution Prevention for Explorer' is set to 'Disabled',HKLM\Software\Policies\Microsoft\Windows\Explorer,NoDataExecutionPrevention,0,Value Not found,Fail
1,REGISTRY_SETTING,18.9.30.3,Ensure 'Turn off heap termination on corruption' is set to 'Disabled',HKLM\Software\Policies\Microsoft\Windows\Explorer,NoHeapTerminationOnCorruption,0,Value Not found,Fail
1,REGISTRY_SETTING,18.9.82.1,Ensure 'Enables or disables Windows Game Recording and Broadcasting' is set to 'Disabled',HKLM\SOFTWARE\Policies\Microsoft\Windows\GameDVR,AllowGameDVR,0,0,Pass
